"iso3c";"year";"country";"n_sp";"n_cct";"n_lpi";"n_ncp"
"ARG";"1948";"Argentina";"1";"0";"0";"1"
"ARG";"1990";"Argentina";"0";"0";"0";"0"
"ARG";"1991";"Argentina";"0";"0";"0";"0"
"ARG";"1992";"Argentina";"0";"0";"0";"0"
"ARG";"1993";"Argentina";"0";"0";"0";"0"
"ARG";"1994";"Argentina";"0";"0";"0";"0"
"ARG";"1995";"Argentina";"0";"0";"0";"0"
"ARG";"1996";"Argentina";"0";"0";"0";"0"
"ARG";"1997";"Argentina";"0";"0";"0";"0"
"ARG";"1998";"Argentina";"0";"0";"0";"0"
"ARG";"1999";"Argentina";"0";"0";"0";"0"
"ARG";"2000";"Argentina";"0";"0";"0";"0"
"ARG";"2001";"Argentina";"0";"0";"0";"0"
"ARG";"2002";"Argentina";"0";"1";"0";"1"
"ARG";"2003";"Argentina";"0";"0";"3";"3"
"ARG";"2004";"Argentina";"0";"0";"0";"0"
"ARG";"2005";"Argentina";"0";"2";"0";"2"
"ARG";"2006";"Argentina";"0";"0";"2";"2"
"ARG";"2007";"Argentina";"0";"0";"1";"1"
"ARG";"2008";"Argentina";"0";"0";"1";"1"
"ARG";"2009";"Argentina";"0";"1";"2";"3"
"ARG";"2010";"Argentina";"0";"0";"0";"0"
"ARG";"2011";"Argentina";"0";"0";"0";"0"
"ARG";"2012";"Argentina";"0";"0";"0";"0"
"ARG";"2013";"Argentina";"0";"0";"0";"0"
"ARG";"2014";"Argentina";"0";"0";"2";"2"
"ARG";"2015";"Argentina";"0";"0";"1";"1"
"ARG";"2016";"Argentina";"1";"0";"0";"1"
"ARG";"2017";"Argentina";"0";"0";"2";"2"
"ARG";"2018";"Argentina";"0";"0";"1";"1"
"ARG";"2019";"Argentina";"0";"0";"0";"0"
"ARG";"2020";"Argentina";"0";"0";"1";"1"
"ARG";"2021";"Argentina";"0";"0";"1";"1"
"ARG";"2022";"Argentina";"0";"0";"1";"1"
"ARG";"2023";"Argentina";"0";"0";"0";"0"
"ARG";"2024";"Argentina";"0";"0";"0";"0"
"ATG";"1990";"Antigua & Barbuda";"0";"0";"0";"0"
"ATG";"1991";"Antigua & Barbuda";"0";"0";"0";"0"
"ATG";"1992";"Antigua & Barbuda";"0";"0";"0";"0"
"ATG";"1993";"Antigua & Barbuda";"1";"0";"0";"1"
"ATG";"1994";"Antigua & Barbuda";"0";"0";"0";"0"
"ATG";"1995";"Antigua & Barbuda";"0";"0";"0";"0"
"ATG";"1996";"Antigua & Barbuda";"0";"0";"0";"0"
"ATG";"1997";"Antigua & Barbuda";"0";"0";"0";"0"
"ATG";"1998";"Antigua & Barbuda";"0";"0";"0";"0"
"ATG";"1999";"Antigua & Barbuda";"0";"0";"0";"0"
"ATG";"2000";"Antigua & Barbuda";"0";"0";"0";"0"
"ATG";"2001";"Antigua & Barbuda";"0";"0";"0";"0"
"ATG";"2002";"Antigua & Barbuda";"0";"0";"0";"0"
"ATG";"2003";"Antigua & Barbuda";"0";"0";"0";"0"
"ATG";"2004";"Antigua & Barbuda";"0";"0";"0";"0"
"ATG";"2005";"Antigua & Barbuda";"0";"0";"0";"0"
"ATG";"2006";"Antigua & Barbuda";"0";"0";"0";"0"
"ATG";"2007";"Antigua & Barbuda";"0";"0";"0";"0"
"ATG";"2008";"Antigua & Barbuda";"0";"0";"0";"0"
"ATG";"2009";"Antigua & Barbuda";"1";"0";"0";"1"
"ATG";"2010";"Antigua & Barbuda";"0";"0";"0";"0"
"ATG";"2011";"Antigua & Barbuda";"0";"0";"0";"0"
"ATG";"2012";"Antigua & Barbuda";"0";"0";"0";"0"
"ATG";"2013";"Antigua & Barbuda";"0";"0";"0";"0"
"ATG";"2014";"Antigua & Barbuda";"0";"0";"0";"0"
"ATG";"2015";"Antigua & Barbuda";"0";"0";"0";"0"
"ATG";"2016";"Antigua & Barbuda";"0";"0";"0";"0"
"ATG";"2017";"Antigua & Barbuda";"0";"0";"0";"0"
"ATG";"2018";"Antigua & Barbuda";"0";"0";"0";"0"
"ATG";"2019";"Antigua & Barbuda";"0";"0";"0";"0"
"ATG";"2020";"Antigua & Barbuda";"0";"0";"0";"0"
"ATG";"2021";"Antigua & Barbuda";"0";"0";"0";"0"
"ATG";"2022";"Antigua & Barbuda";"0";"0";"0";"0"
"ATG";"2023";"Antigua & Barbuda";"0";"0";"0";"0"
"ATG";"2024";"Antigua & Barbuda";"0";"0";"0";"0"
"BHS";"1972";"Bahamas";"2";"0";"0";"2"
"BHS";"1990";"Bahamas";"0";"0";"0";"0"
"BHS";"1991";"Bahamas";"0";"0";"0";"0"
"BHS";"1992";"Bahamas";"0";"0";"0";"0"
"BHS";"1993";"Bahamas";"0";"0";"0";"0"
"BHS";"1994";"Bahamas";"0";"0";"0";"0"
"BHS";"1995";"Bahamas";"0";"0";"0";"0"
"BHS";"1996";"Bahamas";"0";"0";"0";"0"
"BHS";"1997";"Bahamas";"0";"0";"0";"0"
"BHS";"1998";"Bahamas";"0";"0";"0";"0"
"BHS";"1999";"Bahamas";"0";"0";"0";"0"
"BHS";"2000";"Bahamas";"0";"0";"0";"0"
"BHS";"2001";"Bahamas";"0";"0";"0";"0"
"BHS";"2002";"Bahamas";"0";"0";"0";"0"
"BHS";"2003";"Bahamas";"0";"0";"0";"0"
"BHS";"2004";"Bahamas";"0";"0";"0";"0"
"BHS";"2005";"Bahamas";"0";"0";"0";"0"
"BHS";"2006";"Bahamas";"0";"0";"0";"0"
"BHS";"2007";"Bahamas";"0";"0";"0";"0"
"BHS";"2008";"Bahamas";"0";"0";"0";"0"
"BHS";"2009";"Bahamas";"0";"0";"0";"0"
"BHS";"2010";"Bahamas";"0";"0";"0";"0"
"BHS";"2011";"Bahamas";"0";"0";"0";"0"
"BHS";"2012";"Bahamas";"0";"0";"0";"0"
"BHS";"2013";"Bahamas";"0";"0";"0";"0"
"BHS";"2014";"Bahamas";"0";"0";"0";"0"
"BHS";"2015";"Bahamas";"0";"0";"0";"0"
"BHS";"2016";"Bahamas";"0";"0";"0";"0"
"BHS";"2017";"Bahamas";"0";"0";"0";"0"
"BHS";"2018";"Bahamas";"0";"0";"0";"0"
"BHS";"2019";"Bahamas";"0";"0";"0";"0"
"BHS";"2020";"Bahamas";"0";"0";"0";"0"
"BHS";"2021";"Bahamas";"0";"0";"0";"0"
"BHS";"2022";"Bahamas";"0";"0";"0";"0"
"BHS";"2023";"Bahamas";"0";"0";"0";"0"
"BHS";"2024";"Bahamas";"0";"0";"0";"0"
"BLZ";"1990";"Belize";"0";"0";"0";"0"
"BLZ";"1991";"Belize";"0";"0";"0";"0"
"BLZ";"1992";"Belize";"0";"0";"0";"0"
"BLZ";"1993";"Belize";"0";"0";"0";"0"
"BLZ";"1994";"Belize";"0";"0";"0";"0"
"BLZ";"1995";"Belize";"0";"0";"0";"0"
"BLZ";"1996";"Belize";"0";"0";"0";"0"
"BLZ";"1997";"Belize";"0";"0";"0";"0"
"BLZ";"1998";"Belize";"0";"0";"0";"0"
