"country";"iso3c";"year";"ptype";"programme"
"Argentina";"ARG";"2005";"cct";"Familias por la Inclusión Social (2005-2010)"
"Argentina";"ARG";"2002";"cct";"Jefas y Jefes de Hogar Desocupados (2002-2005)"
"Argentina";"ARG";"2005";"cct";"Programa de Ciudadanía Porteña (2005-)"
"Argentina";"ARG";"2009";"cct";"Universal Child Allowance for Social Protection (AUH) (2009-)"
"Belize";"BLZ";"2011";"cct";"Building Opportunities for Our Social Transformation, BOOST (2011-)"
"Bolivia";"BOL";"2006";"cct";"Bono Juancito Pinto (Juancito Pinto Grant) (2006-)"
"Bolivia";"BOL";"2009";"cct";"Bono Madre Niña-Niño Juana Azurduy (Juana Azurduy de Padilla Mother-and-Child Grant) (2009-)"
"Brazil";"BRA";"2023";"cct";"Pé-de-Meia (2023-)"
"Brazil";"BRA";"2021";"cct";"Auxílio Brasil Programme"
"Brazil";"BRA";"2001";"cct";"Bolsa Alimentação  (Bolsa Alimentação food grant) (2001-2003)"
"Brazil";"BRA";"2001";"cct";"Bolsa Escola (2001-2003)"
"Brazil";"BRA";"2003";"cct";"Bolsa Familia (2003-)"
"Brazil";"BRA";"2011";"cct";"Bolsa Verde Programme (2011-2018)"
"Brazil";"BRA";"2003";"cct";"Cartão Alimentação (Cartão Alimentação food card) (2003)"
"Brazil";"BRA";"1996";"cct";"Programa de Erradicação do Trabalho Infantil (PETI) (1996-)"
"Chile";"CHL";"2012";"cct";"Chile Securities and Opportunities - SSyOO (Ethical Family  Income - IEF) (2012-)"
"Chile";"CHL";"2002";"cct";"Chile Solidario  (Solidarity Chile) (2002-2017)"
"Chile";"CHL";"1981";"cct";"Single Family Allowance (1981-)"
"Colombia";"COL";"2001";"cct";"Familias en Acción (Families in Action) (2001-)"
"Colombia";"COL";"2007";"cct";"Red Unidos (Unidos Network formerly Juntos Network) (2007-)"
"Colombia";"COL";"2005";"cct";"Subsidios Condicionados a la Asistencia Escolar (Conditional Subsidies for School Attendance)  (2005-2012)"
"Costa Rica";"CRI";"2006";"cct";"Avancemos (2006-)"
"Costa Rica";"CRI";"2019";"cct";"Crecemos (2019-2021)"
"Costa Rica";"CRI";"2000";"cct";"Superémonos (2000-2002)"
"Dominican Republic";"DOM";"2012";"cct";"Improve yourself (Ex- Progressing with Solidarity) (2012-)"
"Dominican Republic";"DOM";"2005";"cct";"Programa Solidaridad (Solidarity programme) (2005-2012)"
"Ecuador";"ECU";"2003";"cct";"Bono de Desarrollo Humano (Human Development Grant) (2003-)"
"Ecuador";"ECU";"1998";"cct";"Bono Solidario (Solidarity Grant) (1998-2003)"
"Ecuador";"ECU";"2011";"cct";"Zero Malnutrition (2011-)"
"El Salvador";"SLV";"2005";"cct";"Program of Support to Communities in Solidarity in El Salvador (ex Rural Communities in Solidarity or Network of Solidarity) (2005-2016)"
"Guatemala";"GTM";"2008";"cct";"Mi Familia Progresa (2008-2011)"
"Guatemala";"GTM";"2012";"cct";"Programa Bolsa Social (ex Mi bolsa segura) / Social Basket Programme (ex My Safe Basket) (2012-)"
"Guatemala";"GTM";"2007";"cct";"Protección y Desarrollo de la Niñez y Adolescencia Trabajadora (2007-2008)"
"Guatemala";"GTM";"2012";"cct";"Social Allowance (ex My Safety Allowance) (2012-)"
"Guatemala";"GTM";"2017";"cct";"VIDA Programme (2017-)"
"Haiti";"HTI";"2012";"cct";"Ti Manman Cheri (2012-)"
"Honduras";"HND";"2010";"cct";"Bono Vida Mejor (ex Bono 10.000 Education, health and nutrition) (2010-)"
"Honduras";"HND";"1998";"cct";"PRAF/IDB Tranche II (1998-2005)"
"Honduras";"HND";"2006";"cct";"PRAF/IDB Tranche III (2006-2009)"
"Honduras";"HND";"1990";"cct";"Programa de Asignación Familiar (PRAF)  (Family Allowance Programme) (1990-2009)"
"Jamaica";"JAM";"2001";"cct";"Programme of Advancement Through Health and Education (PATH) (2001-)"
"Mexico";"MEX";"2019";"cct";"Benito Juárez Scholarships for the Well-being (2019-)"
"Mexico";"MEX";"1997";"cct";"Oportunidades (Human Development Programme, formerly “Progresa“) (1997-2014)"
"Mexico";"MEX";"2014";"cct";"Prosperity. Social Inclusion Programme (2014-2019)"
"Mexico";"MEX";"2007";"cct";"Stimulus Program for the Universal Baccalaureate, ""Prepa Sí"" (2007-2019)"
"Nicaragua";"NIC";"2000";"cct";"Red de Protección Social (Social Protection Network) (2000-2006)"
"Nicaragua";"NIC";"2005";"cct";"Sistema de Atención a Crisis (Crisis Response System) (2005-2006)"
"Panama";"PAN";"2005";"cct";"Bonos Familiares para la Compra de Alimentos (Programme of grants for families to buy food)  (2005-)"
"Panama";"PAN";"2006";"cct";"Red de Oportunidades (Opportunities Network) (2006-)"
