"";"region";"iso3c";"country";"year";"system";"leader";"party_name";"pf_party_id";"party_short";"cg_pcp_sexp";"cg_prop_sexp";"cg_prop_def";"cg_gdp_sexp";"n_sp";"n_cct";"n_lpi";"n_ncp";"all_cmd_imports";"real_cmd_exports_pcp";"pop";"maj";"execrlc";"exelec";"statecap_baseline";"v2x_polyarchy";"demstock_one";"gdp_pcp_ppp";"inf_eop_g";"unemp";"gg_rev";"cgov_debt";"kof_trade_df";"kof_trade_dj";"def_prop_gdp";"milex";"urban_pop";"dp_ratio_old";"dp_ratio_yg";"civtot";"ajr_settmort";"dist";"v2pariglef_ord";"milex_pop"
"1";"Caribbean";"ATG";"Antigua & Barbuda";1990;;;;;;;;;;0;0;0;0;;;;;;;;;;16038,962;7,861;;19,015;98,070485804709;67,146614074707;;;;35,4900882982909;14,7329983943647;48,5911845444657;;;2075504,86196201;;
"2";"Caribbean";"ATG";"Antigua & Barbuda";1991;;;;;;;;;;0;0;0;0;;;;;;;;;;16255,198;3,206;;17,642;99,074392143392;71,4439315795898;;;;35,4992668871244;14,502698535081;48,4040092521203;;;2075504,86196201;;
"3";"Caribbean";"ATG";"Antigua & Barbuda";1992;;;;;;;;;;0;0;0;0;;;;;;;;;;16178,585;2,862;;18,801;95,479357783878;72,6016540527344;;;;35,4264942344835;14,0748352171625;47,3346532668354;;;2075504,86196201;;
"4";"Caribbean";"ATG";"Antigua & Barbuda";1993;;;;;;;;;;1;0;0;1;;;;;;;;;;16656,261;-0,545;;17,949;90,146321602626;71,4835052490234;;;;35,2418190034;13,6183921511202;46,4489676380144;;;2075504,86196201;;
"5";"Caribbean";"ATG";"Antigua & Barbuda";1994;;;;;;;;;;0;0;0;0;;;;;;;;;;17319,18;0,123;;17,838;89,655473375748;69,4653778076172;;;;34,9622518377762;13,2127988580944;45,8046865707149;;;2075504,86196201;;
"6";"Caribbean";"ATG";"Antigua & Barbuda";1995;;;;;;;;;;0;0;0;0;79091;573,094284622678;68;;;;;;;16128,15;-1,265;;18,243;98,32245927963;70,5673904418945;;;;34,6045871837806;12,8307399763467;45,2960137281729;;;2075504,86196201;;
"7";"Caribbean";"ATG";"Antigua & Barbuda";1996;;;;;;;;;;0;0;0;0;89856;135,950690986978;70;;;;;;;16729,433;3,187;;19,246;91,673631119709;68,3810424804688;;;;34,1856194875816;12,4431985169444;44,9325164469966;;;2075504,86196201;;
"8";"Caribbean";"ATG";"Antigua & Barbuda";1997;;;;;;;;;;0;0;0;0;129862;105,338311703839;71;;;;;;;17159,331;-1,124;;18,081;87,022284400911;67,2117767333984;;;;33,7221431953478;12,0786578779127;44,5603051079121;;;2075504,86196201;;
"9";"Caribbean";"ATG";"Antigua & Barbuda";1998;;;;;;;;;;0;0;0;0;98116;188,104490278336;73;;;;;;;17493,019;4,66;;20,66;102,60881397553;65,6391906738281;;;;33,2309527532477;11,7634403975647;44,0182432287073;;;2075504,86196201;;
"10";"Caribbean";"ATG";"Antigua & Barbuda";1999;;;;;;;;;;0;0;0;0;68209;219,475021168501;74;;;;;;;17703,964;1,098;;18,785;104,60257110237;66,06884765625;;;;32,7288426074498;11,5104889225207;43,3324925379409;;;2075504,86196201;;
